cluster,label,n_phrases,n_speeches,members
11,NHS funding and planning,71,41,NHS Burden; NHS Commissioning Board accountability; NHS Funding; NHS Response; NHS Services; NHS Support; NHS Workforce Planning; NHS access; NHS accountability; NHS administration costs; NHS administrative costs; NHS burden; NHS digital infrastructure; NHS efficiency and workforce retention; NHS financial regulations; NHS funding; NHS funding and charges; NHS funding and free services; NHS funding and free treatment; NHS funding and planning; NHS funding increase; NHS funding increases; NHS funding levels; NHS funding mechanisms; NHS funding model; NHS funding/affordability; NHS funding/defence; NHS funding/performance; NHS future; NHS healthcare research
15,Public health,27,26,Public Health; Public Health Measures; Public Health Policy; Public health; Public health administration; Public health challenge; Public health collaboration; Public health concerns; Public health data; Public health impact; Public health information; Public health infrastructure; Public health infrastructure in low-income countries; Public health investigation; Public health investigations; Public health prioritization; Public health sanitation; Public health strategy; Public health surveillance; Public water health safety; public health; public health administration; public health concerns; public health crisis; public health infrastructure; public health inquiry; public health investigation
13,Poor Law administration,34,22,Administration of poor law and care; Centralized control of poor relief; Classification of paupers; Classification of poor law relief; Parish-based poor relief system; Pauperism/Poor Relief; Poor Law Amendment; Poor Law Board administration; Poor Law Board oversight; Poor Law Commissioners; Poor Law Medical Care; Poor Law administration; Poor Law and social support; Poor Law reform; Poor Law relief; Poor law administration; Poor law medical relief; Poor law/pauperism; Poor relief and pauperism; Poor-law administration; Poverty and the Poor Law; Poverty and workhouses; Prevention of poor law penalties for thrift; Public opposition to Poor-law; Public opposition to poor relief system; Workhouse Reform; Workhouse reform; governance of poor law and social care administration; poor law and public health administration; poor law board oversight
19,Access to healthcare,19,17,Access to care and treatment; Access to care in rural areas; Access to healthcare; Access to healthcare in rural areas; Access to healthcare services; Access to healthcare treatment; Access to quality healthcare; Access to treatment; Care and treatment access; Healthcare access; Healthcare access (rural areas); Healthcare access (under-doctored areas); Healthcare access in developing nations; Rural health needs; Rural healthcare access; Timely access to healthcare services; access to medical facilities; access to services; access to treatment services
23,Social welfare provision,14,17,Funding for social services; Public assistance schemes; Social Welfare Administration; Social service funding; Social services funding; Social services management; Social welfare administration; Social welfare and mutual aid; Social welfare funding; Social welfare governance; Social welfare legislation; Social welfare provision; Social welfare requests; Social welfare support
22,Health service funding,18,15,Capital expenditure for health infrastructure; Government financial commitments to health services; Health Service funding; Health service funding; Healthcare expenditure and revenue; Healthcare funding; Healthcare funding efficiency; Healthcare funding/economies; Healthcare spending targets; Hospital funding/expenditure; Integrated healthcare funding; Public Health Funding; Public expenditure on health and social care; Public health funding; Public health service investment; public financing of health services; public health funding; use of public funds for health infrastructure
9,Poverty relief,16,13,Immigrant poverty; Pauper relief costs; Pauper relief systems; Poor relief funding; Poor relief provision; Poverty Relief; Poverty and support; Poverty and unemployment; Poverty relief; Poverty relief management; Support for elderly in poverty; Support for elderly poor; Support for the needy; Support for the poor; Support for the poor and elderly; cost of pauper relief
3,Housing conditions,11,11,Affordable and social housing provision; Housing Conditions; Housing associations; Housing conditions; Housing costs; Housing for the working classes; Housing shortage; Housing standards; Social housing; housing conditions; housing shortages
56,Old age support,21,9,"Care for pensioners; Elderly care; Financial support (pensions, savings); Financial support for the elderly; Old Age Pension; Old Age Support; Old age pensions; Old age support; Older people's independence; Pensioners support; Pensions (old age); Poverty in old age; Social Care for Elderly; Support for elderly with non-contributory pensions; Support for non-contributory pensioners; Support for older people's independence; Support for pensioners; old age pensions; older people care; social support for elderly; support for elderly people"
32,Social care funding,12,9,Care funding; Cost of elderly care; Funding crisis in social care; Funding for social care services; Public funding for care; Residential care costs; Social care costs; Social care funding; Support for social care funding; funding for care; funding for social care; rate collection and taxation for social care
96,Disease prevention,6,8,Disease Prevention; Disease prevention; Disease prevention (cholera); Prevention and public health education; disease prevention; disease prevention through sanitation
164,Sanitation,12,8,Sanitary conditions; Sanitary conditions in public buildings; Sanitation; Sanitation issues; Sewage and sanitation; Sewer system and sanitation; Urban hygiene infrastructure; court sanitation and public health; sanitary conditions; sanitary conditions in public buildings; sanitation and nuisance control; urban sanitation measures
121,Mental health services,13,7,Community mental health services; Hospital provision (mental health); Hospital provision for mental health; Mental Health Services; Mental health facilities; Mental health institutions; Mental health provision; Mental health services; Mental hospitals; mental health facilities; mental health institutional care; mental health services; report on mental health services
67,tuberculosis treatment,10,6,Drug-resistant tuberculosis management; TB care and treatment; TB treatment; Treatment of drug-resistant tuberculosis; Tuberculosis control; Tuberculosis prevention; Tuberculosis treatment; tuberculosis prevention; tuberculosis treatment; tuberculosis treatment facilities
44,Carer recognition and support,14,6,Care for carers; Carer Support; Carer engagement in healthcare; Carer involvement in care; Carer recognition and support; Carer support; Carer well-being; Emotional impact on carers; Mental health screening for carers; National Carers Strategy; Support for carers; Support for carers and community wellbeing; Support for carers of disabled young people; carer involvement in care planning
71,child protection services,11,6,Child Protection; Child Protection Policy; Child protection services; Child welfare; Children in care; Children's residential care; Safeguarding vulnerable children; Workhouse care; child protection services; children's residential care; protection of young children in care settings
8,Workhouse conditions,12,6,Impact of workhouse rules on families; Mental and physical well-being in workhouses; Public health (workhouse diet/discipline); Temporary accommodation for children of mothers in adult institutions; Workhouse Conditions; Workhouse conditions; Workhouse discipline and diet; Workhouse systems; care for women and children in poor law institutions; workhouse healthcare conditions; workhouse system; workhouses
111,NHS resource allocation,8,5,Allocation of medical resources; Medical practice allocation; NHS resource allocation; NHS resource management; NHS resource protection; National Health Service resource allocation; health resource allocation; healthcare resource allocation
30,Disease outbreak control,10,5,Disease outbreak control; Disease outbreak response; Epidemic control; Epidemic response; Infectious disease outbreak; epidemic response and management; epidemic response and medical aid; infectious disease outbreak; outbreak control; outbreak control measures
51,Public health legislation,8,5,Healthcare legislation; Public Health Act; Public Health Act implementation; Public Health Legislation; Public health legislation; Public health regulation; public health legislation; public health regulation
53,Social service structure,7,5,Social Service Structure; Social care system; Social service structure; Social service structure protection; Social services intervention; personal social services; social care services
18,vaccination and immunisation,15,5,Childhood immunisation; Immunisation; Immunisation information and public education; Public immunisation education; Vaccination and immunisation; Vaccination prioritisation; Vaccination programs; Vaccination safety; immunisation; vaccination; vaccination and immunisation; vaccination policy; vaccination policy and decision-making; vaccination prioritisation; vaccination prioritization
198,Pauper care,9,5,Access to quality healthcare for the poor; Medical appointments for poor; Medical appointments for poor relief; Medical relief for the poor; Pauper care; Prevention of pauperism among the sick; Residential care for the poor; healthcare access for the poor; pauper care practices
200,social care regulation,8,5,Institutional care standards; National standards in social care; Social care oversight; Social care regulation; Social care standards; regulation of care admissions; regulation of local authority care facilities; social care regulation
182,administration of old people's homes,10,5,Administration of old people's homes; Aged care homes; Old people's homes; Residential care; Residential care management; administration of care; administration of old people's homes; care homes; long-term care services; old people's homes
107,Housing and public health,6,5,Housing and health infrastructure; Housing and public health; Public health housing; housing conditions affecting health; housing conditions affecting public health; model housing and health outcomes
123,Mental Health Impact,5,5,Mental Health; Mental Health Impact; Mental health effects; Mental health problems; mental health impacts
102,Hospital governance,12,5,Democratic governance of hospitals; Healthcare management; Hospital Management; Hospital administration and efficiency; Hospital endowment fund management; Hospital endowment funds management; Hospital governance; Hospital management; Hospital management and administration; Hospital management committees; hospital governance; hospital management
211,Overcrowding,3,4,Overcrowding; Overcrowding reduction; overcrowding
5,Hospital care,5,4,Hospital care; Hospital preservation; Hospital preservation and healthcare services; Hospital treatment; hospital care
24,transparency in public health inquiries,4,4,Public visibility of health policy; Transparency of public health bodies; transparency in health decision-making; transparency in public health inquiries
27,Patient charges/costs,6,4,Charging for medical procedures; Healthcare charges; Patient charges/costs; Patient penalties/fines; Patients paying for operations; patient penalties and fines
63,Public charges for health services,6,4,Public charges for health services; Public charges for healthcare services; Public health charges; Public healthcare access; Public healthcare services; Public provision of healthcare
58,impact of environmental hazards on health,8,4,Environmental Health; Environmental health hazards; Environmental health impacts; Impact of environment on illness; Impact of environmental hazards on residents' health; Impact of poor environment on health; Public health risks from unsanitary urban environments; impact of environmental hazards on health
73,disease diagnosis,4,4,disease; disease detection and diagnosis; disease diagnosis; health diagnostics
74,Administrative economies in healthcare,4,4,Administrative economies in healthcare; Administrative overhead costs in healthcare; Cost savings in healthcare management; Public asset management in healthcare
41,pauperism,3,4,pauper treatment; pauperism; poor relief
42,Support for victims,4,4,Support for Victims; Support for the vulnerable; Support for victims; Support for vulnerable immigrants
149,Racial inequality in healthcare,4,3,Healthcare access inequality; Mental health services and racial inequality; Racial inequality in healthcare; Racism in healthcare settings
130,NHS property,6,3,NHS estate management; NHS housing provision; NHS property; NHS property management; National Health Service staff housing; housing for NHS workers
80,Mental capacity legislation,7,3,Legal frameworks for young people with incapacity; Mental Capacity; Mental capacity and decision-making; Mental capacity in young adults; Mental capacity legislation; Mental health and capacity law; Mental health legislation
77,Service personnel healthcare access,4,3,Health Service Accounts; Service personnel healthcare; Service personnel healthcare access; healthcare services
93,Centralisation in healthcare,6,3,Centralisation in healthcare; Centralisation of healthcare governance; Centralised control of healthcare; Decentralisation of Healthcare; Decentralisation of healthcare decisions; Devolution of health services
275,Barrack conditions,3,3,Barrack conditions; Living conditions (barracks); Prison conditions
105,hospital infrastructure development,7,3,Healthcare infrastructure; Hospital Design; Hospital Redevelopment; Hospital design flexibility; Hospital infrastructure; Hospital redevelopment; hospital infrastructure development
117,NHS medical job opportunities,5,3,NHS careers; NHS doctor recruitment; NHS job offer communication; NHS job placement and employment support; NHS medical job opportunities
50,housing accommodation,3,3,Temporary housing; access to accommodation; housing accommodation
49,Community care,5,3,Community and family support; Community care; Community care development; Community healthcare delivery; community healthcare
38,Rural housing,4,3,Agricultural worker housing; Prefabricated housing; Rural housing; Rural housing standards
37,Parliamentary scrutiny of care regulations,4,3,Parliamentary scrutiny of care regulations; Parliamentary time allocation for health matters; Timing of health and social care legislation; parliamentary scrutiny of health regulations
39,Local control in health services,4,3,Local Health Governance; Local control in health services; local decision-making in healthcare; local implementation of health policy
442,Public funding allocation,3,3,Government funding allocation; Public funding allocation; funding and budget allocation
4,Nursing workforce shortages,9,3,Children's nursing shortages; Children's ward nursing shortages; Maternity care workforce gaps; Midwifery staffing crisis; Nursing workforce; Nursing workforce shortages; Workforce crisis in health; Workforce crisis in healthcare; workforce crisis
1,Medical Education,3,3,Health Education; Medical Education; Medical education coordination
33,sanitary supervision and inspection,4,3,District medical inspections; Public health inspection; Sanitary supervision; sanitary supervision and inspection
35,Basic salary for doctors,5,3,Basic salary for doctors; Basic salary for young doctors; Doctor remuneration/pay; Medical officer salary; medical officer salaries
206,Nursing care,4,3,Children's nursing; Nursing care; Nursing in general hospitals; nursing care
194,Professional accountability in healthcare,5,3,Healthcare Professional Accountability; Healthcare accountability; Professional accountability; Professional accountability and discipline; Professional accountability in healthcare
205,Democratic planning in healthcare,5,3,Democratic planning in healthcare; Electoral participation in health care institutions; Meaningful consultation in healthcare planning; democratic participation in healthcare; democratic planning in healthcare
165,Maternity care,3,3,Maternal health; Maternity care; Mother and baby care
155,Department of Health oversight,5,3,Board of Health functions; Department of Health oversight; Department of Health procedures; Health commission; Health department oversight
20,Two-tier healthcare system,3,3,Healthcare access based on contribution; Two-tier healthcare system; two-tier healthcare system
84,Disability provision,5,3,Disability provision; Services for adults with disabilities; Wheelchair services; Wheelchair services provision; disability support
60,Poor living conditions,5,3,Failure to provide adequate housing for the poor; Overcrowded housing; Overcrowding and living conditions; Poor living conditions; slum conditions
82,Preventative healthcare,4,3,Preventative healthcare; Preventative screening; Preventive Care; preventive healthcare
72,Quality of medical care,3,3,Healthcare quality improvement; Institutional health outcomes; Quality of medical care
59,Food poverty,4,3,Food costs and access; Food poverty; Food poverty and food bank support; Food security/nutrition
83,Infectious disease control,6,3,Infection Control; Infectious disease; Infectious disease control; Infectious disease response; infection treatment; treatment of infectious diseases
70,Health professional training and support,4,3,Health professional training and support; Healthcare provider training and support; Training coordination for healthcare professionals; Training for healthcare staff
43,Healthcare guidelines,5,3,Healthcare guidelines; NHS clinical guidance; Public health guidelines; healthcare guidance; public health guidance
100,Patient involvement in healthcare,7,3,Patient Involvement; Patient autonomy in treatment decisions; Patient involvement in care; Patient involvement in healthcare; Public involvement in healthcare; Public involvement in healthcare decision-making; patient involvement in healthcare
95,Integration of health and social care services,6,3,Integrated care; Integrated health and social care; Integrated health services; Integration of health and social care; Integration of health and social care services; care system integration
253,Medication adherence,5,3,Medication Practices; Medication adherence; Medication adherence and treatment refusal; Medication compliance; Medication safety
240,Healthcare agencies,3,3,Healthcare agencies; National health agencies; healthcare agency
409,Government accountability in health policy,3,3,Governance and accountability in healthcare regulation; Government accountability in health infrastructure; Government accountability in health policy
184,Health workforce planning,4,3,Health workforce planning; Healthcare planning; Healthcare workforce regulation and planning; Medical workforce allocation and mobility
366,Regulation of practitioners,6,2,Professional regulation; Professional regulation of healthcare workers; Protection from unqualified practitioners; Regulation of medical practitioners; Regulation of practitioners; regulation of medical practitioners
368,Well-being as a guiding principle,3,2,Mental and physical well-being in care; Well-being as a guiding principle; Well-being as guiding principle
2,cholera and diarrhoea treatment,3,2,Cholera Morbus; cholera and diarrhoea treatment; cholera outbreak and public health
376,Adult social care staffing,3,2,Adult social care staffing; Adult social care staffing shortages; Social care workforce
52,Mental health nursing shortages,4,2,Mental health nursing; Mental health nursing decline; Mental health nursing shortages; Neglect in mental health care
54,Post-war housing reconstruction,3,2,Post-war austerity; Post-war housing reconstruction; Post-war rebuilding and public health
25,Doctor recruitment/oversupply,4,2,Doctor recruitment to under-doctored areas; Doctor recruitment/oversupply; Doctor workforce oversupply; Under-doctored areas and doctor distribution
28,role of medical officers of health,2,2,local government role in public health enforcement; role of medical officers of health
34,Health quango transparency,2,2,Health quango transparency; access to public health documentation
36,Potential famine,2,2,Potential famine; famine and starvation
369,Wheat rationing,3,2,Bacon rationing; Rationing; Wheat rationing
365,Public trust in healthcare delivery,2,2,Public trust in healthcare delivery; community trust in health officials
458,home care services,6,2,Home care provision; Home care service; Home care services; Home care/visits; home care; home care services
460,healthcare costs,2,2,healthcare costs; private healthcare costs
86,working class wellbeing,2,2,Working class hardship; working class wellbeing
85,International nurse recruitment challenges,4,2,International nurse recruitment; International nurse recruitment challenges; Overseas nurse recruitment; Recruitment challenges in public healthcare
